"canonical_name","ingredient_type","allergen_codes","certainty","e_number","additive_category_code","concern_level","aliases","explanation_en"
"Disodium guanylate","additive","","","E627","FLAVOUR_ENHANCER","1","sodium guanylate|gmp|ins 627|ins627|e627","A nucleotide flavour enhancer, almost always paired with MSG or disodium inosinate."
"Disodium inosinate","additive","FISH","possible","E631","FLAVOUR_ENHANCER","1","sodium inosinate|imp|ins 631|ins631|e631","A nucleotide flavour enhancer; can be produced from fish (bonito) or from meat or tapioca."
"Disodium ribonucleotides","additive","","","E635","FLAVOUR_ENHANCER","1","sodium ribonucleotides|disodium 5-ribonucleotides|i and g|ins 635|ins635|e635","A 50/50 blend of disodium guanylate and disodium inosinate."
"Yeast extract","allergen_source","","","","","","autolysed yeast extract|autolyzed yeast|hydrolysed yeast","A savoury paste or powder from broken-down yeast, naturally high in glutamates; used instead of added MSG."
"Hydrolysed vegetable protein","additive","SOY|WHEAT","possible","","","","hvp|hydrolyzed vegetable protein|hydrolysed plant protein","Plant protein (often soy or wheat) broken down into a salty, savoury flavouring."
"Potassium chloride","additive","","","E508","FLAVOUR_ENHANCER","1","potassium salt|salt substitute|ins 508|ins508|e508","A salty-tasting mineral salt used to cut sodium in 'reduced salt' products."
"Acesulfame K","additive","","","E950","SWEETENER","1","acesulfame potassium|ace-k|acesulphame k|ins 950|ins950|e950","An intense artificial sweetener, heat-stable and often blended with aspartame or sucralose."
"Sodium cyclamate","additive","","","E952","SWEETENER","2","cyclamate|cyclamic acid|ins 952|ins952|e952","An artificial sweetener permitted in many countries but banned in the US."
"Saccharin","additive","","","E954","SWEETENER","1","sodium saccharin|benzoic sulfimide|ins 954|ins954|e954","The oldest artificial sweetener; very intense with a slight metallic aftertaste."
"Steviol glycosides","additive","","","E960","SWEETENER","1","stevia|rebaudioside a|reb a|stevia extract|ins 960|ins960|e960","Intense sweeteners extracted from the leaves of the stevia plant."
"Thaumatin","additive","","","E957","SWEETENER","1","talin|ins 957|ins957|e957","A sweet protein from the katemfe fruit, also used as a flavour enhancer."
"Neotame","additive","","","E961","SWEETENER","1","ins 961|ins961|e961","A very intense artificial sweetener related to aspartame but not a significant source of phenylalanine."
"Sorbitol","additive","","","E420","SWEETENER","1","sorbitol syrup|glucitol|ins 420|ins420|e420","A sugar alcohol used as a sweetener and humectant; large amounts have a laxative effect."
"Mannitol","additive","","","E421","SWEETENER","1","ins 421|ins421|e421","A sugar alcohol used as a sweetener and anti-caking dusting agent; laxative in quantity."
"Isomalt","additive","","","E953","SWEETENER","1","ins 953|ins953|e953","A sugar alcohol used in hard candy and sugar sculpture; laxative in quantity."
"Maltitol","additive","","","E965","SWEETENER","1","maltitol syrup|hydrogenated glucose syrup|ins 965|ins965|e965","A sugar alcohol close to sugar in taste and bulk; common in 'no added sugar' chocolate. Laxative in quantity."
"Xylitol","additive","","","E967","SWEETENER","1","birch sugar|ins 967|ins967|e967","A sugar alcohol with a cooling taste, used in mints and gum. Safe for people but highly toxic to dogs."
"Erythritol","additive","","","E968","SWEETENER","1","ins 968|ins968|e968","A sugar alcohol that is largely absorbed and passed unchanged, so it has almost no calories and little laxative effect."
"Lactitol","additive","","","E966","SWEETENER","1","ins 966|ins966|e966","A sugar alcohol made from lactose (milk sugar); the finished additive contains no milk protein."
"Diphosphates","additive","","","E450","RAISING_AGENT","1","disodium diphosphate|sodium acid pyrophosphate|sapp|pyrophosphates|ins 450|ins450|e450|e450(i)|e450(iii)|ins 450i|ins 450iii|ins 450(i)|ins 450(iii)|450i|450iii|disodium dihydrogen diphosphate|tetrasodium diphosphate|tetrasodium pyrophosphate","The slow acid in most baking powders; also binds water in processed meats."
"Sodium aluminium phosphate","additive","","","E541","RAISING_AGENT","1","salp|ins 541|ins541|e541","An acid used in self-raising flour and cake mixes for a controlled rise."
"Silicon dioxide","additive","","","E551","STABILISER","1","silica|amorphous silica|ins 551|ins551|e551","An anti-caking agent that keeps powdered foods free-flowing. (Category shown as stabiliser for lack of an anti-caking class.)"
"Calcium carbonate","additive","","","E170","COLOUR","1","chalk|limestone|ins 170|ins170|e170","A white mineral used as a colour, acidity regulator, anti-caking agent and calcium fortificant."
"Calcium chloride","additive","","","E509","STABILISER","1","ins 509|ins509|e509","A firming salt that keeps canned vegetables and tofu firm and is used in cheesemaking."
"Sucrose","neutral","","","","","","table sugar|cane sugar|beet sugar|granulated sugar|caster sugar|icing sugar|white sugar|sugar|refined sugar|crystal sugar|white crystal sugar|refined cane sugar|plantation white sugar","Ordinary refined sugar, from cane or beet."
"Glucose syrup","neutral","WHEAT","possible","","","","glucose-fructose syrup|liquid glucose|dextrose syrup|glucose solids|dried glucose syrup|glucose syrup solids|confectioners glucose|glucose syrup (from maize)","A sweet syrup made by breaking down starch; usually maize, sometimes wheat, but refined enough that most coeliacs tolerate it."
"High fructose corn syrup","neutral","","","","","","hfcs|isoglucose|maize syrup","A liquid sweetener from maize starch, enriched in fructose; common in soft drinks and sauces."
"Invert sugar","neutral","","","","","","invert syrup|golden syrup|trimoline","A sugar syrup split into glucose and fructose, valued for keeping baked goods moist."
"Dextrose","neutral","","","","","","glucose|d-glucose|grape sugar|corn sugar|dextrose monohydrate|dextrose anhydrous|anhydrous dextrose","Purified glucose, used as a mild sweetener, browning aid and fermentation feed."
"Molasses","neutral","","","","","","black treacle|blackstrap molasses|treacle","The dark, mineral-rich syrup left after sugar crystallises."
"Honey","neutral","","","","","","clear honey|set honey|honey powder","A natural sweetener made by bees. Not for infants under 12 months (botulism risk)."
"Maple syrup","neutral","","","","","","pure maple syrup|maple sugar","Boiled-down sap of the sugar maple."
"Agave syrup","neutral","","","","","","agave nectar","A high-fructose syrup from the agave plant."
"Coconut sugar","neutral","","","","","","coconut palm sugar|coco sugar","An unrefined sugar from coconut-palm sap."
"Jaggery","neutral","","","","","","gur|panela|palm jaggery|kithul jaggery","Unrefined whole cane or palm sugar, common in South Asian cooking."
"Rice syrup","neutral","","","","","","brown rice syrup|rice malt syrup","A mild sweetener made by fermenting cooked rice starch."
"Maize starch","neutral","","","","","","corn starch|cornflour|corn flour|corn starch (maize)|maize corn starch|corn flour (maize starch)","A fine starch from maize, used to thicken sauces and lighten cakes. Naturally gluten-free."
"Tapioca starch","neutral","","","","","","tapioca flour|cassava starch|manioc starch","A neutral, glossy starch from cassava root; a staple gluten-free thickener."
"Potato starch","neutral","","","","","","farina de patata","A silky starch from potatoes, used in gluten-free baking and to thicken clear sauces."
"Arrowroot","neutral","","","","","","arrowroot starch|arrowroot flour","A fine, clear-setting starch from the arrowroot plant."
"Rice flour","neutral","","","","","","ground rice|rice powder|white rice flour|brown rice flour","Milled rice; a common gluten-free flour and coating."
"Chickpea flour","neutral","","","","","","gram flour|besan|garbanzo flour","Ground chickpeas; used in pakora, socca and as an egg replacer."
"Sunflower oil","neutral","","","","","","sunflower seed oil|high-oleic sunflower oil","A light vegetable oil pressed from sunflower seeds."
"Rapeseed oil","neutral","","","","","","canola oil|colza oil","A neutral vegetable oil; 'canola' is the low-erucic-acid variety."
"Olive oil","neutral","","","","","","extra virgin olive oil|pomace olive oil|virgin olive oil","Oil pressed from olives."
"Coconut oil","neutral","","","","","","copra oil|virgin coconut oil","A solid-at-room-temperature fat from coconut flesh."
"Palm oil","neutral","","","","","","palm fruit oil|palm olein|palm stearin|refined palm oil|rbd palm oil|palm oil (refined)|refined palm olein|refined bleached deodorised palm oil|refined bleached deodorized palm oil","A semi-solid fat from the fruit of the oil palm."
"Palm kernel oil","neutral","","","","","","palmkernel oil|pko","A harder fat from the seed (kernel) of the oil palm, used in coatings and non-dairy creamers."
"Cocoa powder","neutral","","","","","","cacao powder|dutch-process cocoa|fat-reduced cocoa","Ground, mostly de-fatted roasted cocoa beans."
"Cocoa mass","neutral","","","","","","cocoa liquor|cocoa solids|cacao mass|chocolate liquor|unsweetened chocolate","Ground roasted cocoa nibs — the non-sugar part of dark chocolate."
"Cocoa butter","neutral","","","","","","cacao butter|theobroma oil","The pale fat pressed from cocoa beans; the fat phase of chocolate."
"Vanilla extract","neutral","","","","","","natural vanilla flavouring|vanilla essence|vanilla bean paste","A flavouring made by steeping vanilla pods in alcohol and water."
"Vanillin","neutral","","","","","","synthetic vanilla|methyl vanillin|ethyl vanillin","The single molecule that gives vanilla its main aroma; usually made synthetically."
"Salt","neutral","","","","","","sodium chloride|table salt|sea salt|rock salt|iodised salt|kosher salt|iodized salt|iodised table salt|iodized table salt|refined iodised salt|refined iodized salt","Sodium chloride, the basic seasoning."
"Yeast","neutral","","","","","","bakers yeast|dried yeast|active dry yeast|instant yeast|fresh yeast|compressed yeast","A leavening micro-organism that ferments sugars to make dough rise."
"Baking powder","neutral","WHEAT","possible","","","","raising agent","A ready-mixed leavener of bicarbonate of soda plus an acid salt and a starch filler (sometimes wheat)."
"Black pepper","neutral","","","","","","pepper|ground pepper|peppercorns|white pepper","The dried berry of the pepper vine."
"Turmeric","neutral","","","","","","haldi|curcuma|ground turmeric","A yellow rhizome spice; the source of curcumin colour."
"Cinnamon","neutral","","","","","","cassia|ground cinnamon|cinnamon bark","The aromatic inner bark of cinnamon or cassia trees."
"Garlic powder","neutral","","","","","","dried garlic|granulated garlic|garlic granules","Dehydrated ground garlic."
"Onion powder","neutral","","","","","","dried onion|granulated onion","Dehydrated ground onion."
"Paprika","neutral","","","","","","sweet paprika|smoked paprika|hot paprika","A red spice ground from dried Capsicum peppers."
"Ginger","neutral","","","","","","dried ginger|ground ginger|ginger powder|sonth","A pungent rhizome spice."
"Cumin","neutral","","","","","","jeera|ground cumin|cumin seed","A warm, earthy seed spice central to many curry and chilli blends."
"Coriander","neutral","","","","","","dhania|ground coriander|coriander seed|cilantro","The seed (and leaf) of the coriander plant."
"Rice","neutral","","","","","","white rice|brown rice|basmati|jasmine rice|rice grain","A staple cereal grain; naturally gluten-free."
"Maize","neutral","","","","","","corn|sweetcorn|maize grits|cornmeal|polenta|hominy|corn kernels","A staple cereal grain; naturally gluten-free."
"Potato","neutral","","","","","","potato flakes|dried potato|potato granules|mashed potato powder","A starchy tuber; potato flakes appear in snacks and instant mash."
"Buckwheat","neutral","","","","","","kuttu|soba flour|buckwheat groats|kasha","A gluten-free seed used like a grain; unrelated to wheat despite the name (a rare allergen in its own right)."
"Quinoa","neutral","","","","","","quinua|quinoa flakes|quinoa flour","A gluten-free seed cooked like a grain."
"Millet","neutral","","","","","","bajra|ragi|finger millet|pearl millet|foxtail millet","A group of small-seeded gluten-free cereal grains."
"Sorghum","neutral","","","","","","jowar|milo|great millet|sorghum flour","A gluten-free cereal grain used as flour and in porridge and beer."
"Coconut milk","neutral","TREE_NUT","possible","","","","coconut cream|coconut milk powder","A rich liquid pressed from grated coconut flesh. Coconut is labelled as a tree nut in the US."
"Oat milk","allergen_source","GLUTEN","possible","","","","oat drink|oat beverage","A plant milk made from oats; not certified gluten-free unless stated."
"Gelatine","neutral","","","","","","gelatin|beef gelatin|pork gelatin|halal gelatin|leaf gelatine","A gelling protein from animal (usually pork or beef) skin and bone. Not an allergen, but relevant to dietary and religious restrictions."
"Vinegar","neutral","","","","","","white vinegar|spirit vinegar|distilled vinegar|apple cider vinegar|rice vinegar|balsamic vinegar|wine vinegar","A dilute acetic-acid solution from fermented alcohol. Distilled vinegar is gluten-free even if made from wheat."
"Water","neutral","","","","","","aqua|purified water|filtered water|carbonated water|spring water","The base of most liquid foods and drinks."
"Natural flavouring","neutral","","possible","","","","natural flavour|natural flavours|nature identical flavouring|flavouring|nature identical flavours|nature identical flavour|natural identical flavour|natural identical flavours|added flavours|added flavour|added flavouring|permitted flavour|permitted flavours|permitted flavouring|artificial flavour|artificial flavours|artificial flavouring|synthetic flavour|synthetic flavours|food flavour|food flavouring","A broad label term. Usually safe, but 'natural flavouring' can occasionally carry milk, egg, soy, fish or nut derivatives — check with the manufacturer for a serious allergy."
"Spices","neutral","","","","","","mixed spices|spice|spice extract|seasoning","A generic label term for a blend of dried aromatic plant parts. Mustard and celery can hide inside 'spices'."
"Tartrazine","additive","","","E102","COLOUR","3","yellow 5|fd&c yellow 5|fd and c yellow 5|acid yellow 23|ci 19140|food yellow 4|tartrazine yellow|ins 102|ins102|e102","A synthetic lemon-yellow azo dye. One of the colours linked to hyperactivity in some children, and a rare trigger for people who react to aspirin."
"Amaranth","additive","","","E123","COLOUR","3","fd&c red 2|fd and c red 2|acid red 27|ci 16185|food red 9|bordeaux s|ins 123|ins123|e123","A synthetic dark-red azo dye. Banned as a food colour in the United States; permitted in the EU and many other countries only at low levels."
"Green S","additive","","","E142","COLOUR","2","acid brilliant green bs|food green 4|ci 44090|lissamine green|brilliant green bs|ins 142|ins142|e142","A synthetic green colour used in tinned peas, mint sauce, gravy granules and sweets."
"Brilliant Black BN","additive","","","E151","COLOUR","2","black pn|brilliant black pn|food black 1|ci 28440|ins 151|ins151|e151","A synthetic black azo dye used in sauces, blackcurrant products and liquorice sweets."
"Brown HT","additive","","","E155","COLOUR","2","chocolate brown ht|food brown 3|ci 20285|ins 155|ins155|e155","A synthetic brown azo dye used to give chocolate-flavoured cakes and biscuits their colour."
"Beta-apo-8'-carotenal","additive","","","E160e","COLOUR","1","beta apo 8 carotenal|apocarotenal|apo carotenal|c30 carotenoid|ins 160e|ins160e|e160e|160e|ins 160 e|160 e|e160(e)","An orange-red carotenoid colour chemically related to beta-carotene; also a source of vitamin A."
"Sodium bicarbonate","additive","","","E500ii","RAISING_AGENT","1","sodium hydrogen carbonate|bicarbonate of soda|baking soda|bread soda|cooking soda|e500(ii)|ins 500ii|ins500ii|e500ii|500ii|ins 500 ii|500 ii","Baking soda: the most common chemical raising agent. It releases carbon dioxide when heated or mixed with an acid, making dough rise."
"Calcium disodium EDTA","additive","","","E385","ANTIOXIDANT","2","calcium disodium ethylenediaminetetraacetate|edta|calcium disodium edetate|ins 385|ins385|e385","A sequestrant that locks up trace metals so fats do not go rancid and colours do not fade. Common in mayonnaise, canned pulses and bottled dressings."
"Triphosphates","additive","","","E451","ACIDITY_REGULATOR","1","pentasodium triphosphate|sodium triphosphate|potassium triphosphate|stpp|pentapotassium triphosphate|e451(i)|ins 451i|ins 451|ins451|e451","Phosphate salts that bind water and hold texture in processed meat, fish, cheese and instant noodles. A high total phosphate intake matters for people with kidney disease."
"Permitted colours","additive","","","","COLOUR","2","permitted colour|permitted food colour|permitted food colours|permitted synthetic colours|permitted natural colours|added colours|added colour|class ii colours|colours (permitted)|permitted colouring|permitted colours (natural and artificial)","A label placeholder meaning one or more approved colour additives are present without being named here. Look for the INS or E numbers printed next to it to see which."
"Permitted preservatives","additive","","","","PRESERVATIVE","2","permitted preservative|permitted class i preservatives|permitted class ii preservatives|class ii preservative|class ii preservatives|added preservatives|added preservative|preservatives (permitted)|permitted preservative (class ii)","A label placeholder for one or more approved preservatives that are not named individually. Check the INS or E numbers beside it."
"Permitted antioxidants","additive","","","","ANTIOXIDANT","1","permitted antioxidant|added antioxidants|added antioxidant|antioxidants (permitted)|permitted anti oxidant|permitted anti-oxidant","A label placeholder for one or more approved antioxidants that stop fats and oils turning rancid, not named individually here."
"Permitted leavening agents","additive","","","","RAISING_AGENT","1","permitted leavening agent|leavening agent|leavening agents|permitted raising agents|permitted raising agent|raising agents (permitted)|permitted leavening agents and acidity regulators","A label placeholder for the baking-soda-type raising agents that make biscuits, cakes and crackers rise. The specific INS numbers are usually listed alongside."
"Permitted emulsifiers","additive","","","","EMULSIFIER","1","permitted emulsifier|permitted emulsifiers and stabilisers|permitted emulsifier and stabiliser|emulsifiers (permitted)|added emulsifiers|added emulsifier|permitted emulsifying agents","A label placeholder for one or more approved emulsifiers, most often lecithin or mono- and diglycerides, that are not named individually."
"Permitted stabilisers","additive","","","","STABILISER","1","permitted stabiliser|permitted stabilisers|permitted stabilizer|stabilisers (permitted)|added stabilisers|permitted stabiliser and thickener|permitted stabilising agents","A label placeholder for one or more approved stabilisers or thickeners that are not named individually."
"Permitted acidity regulators","additive","","","","ACIDITY_REGULATOR","1","permitted acidity regulator|acidity regulators (permitted)|added acidity regulators|permitted acid regulator|permitted buffering agents","A label placeholder for one or more approved acids or buffers used to control tartness, not named individually."
"Vegetable oil","neutral","","","","","","vegetable fat|edible vegetable oil|refined vegetable oil|edible oil|refined edible oil|vegetable cooking oil|blended vegetable oil|permitted vegetable oil|edible vegetable fat|refined vegetable fat","An unnamed blend of plant oils. In South Asian products this is very often palm oil or a palm blend; the label may not say which specific oils are used."
"Hydrogenated vegetable oil","neutral","","","","","","partially hydrogenated vegetable oil|hydrogenated vegetable fat|hydrogenated fat|hydrogenated palm oil|hydrogenated edible oil|vanaspati|dalda|interesterified vegetable fat|interesterified vegetable oil|partially hydrogenated oil","Vegetable oil hardened by adding hydrogen. Partially hydrogenated oil is the main dietary source of artificial trans fat, which raises the risk of heart disease."
"Apple","neutral","","","","","","apples|apple powder|dried apple|apple pieces|apple puree|apple pulp|apple juice concentrate|apple flakes","The fruit, used as pieces, puree, powder or juice, or named as the source of a fruit flavour. Not a common allergen, though people allergic to birch pollen sometimes get a mild mouth reaction to raw apple."
"Apricot","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Avocado","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Banana","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Blackberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Blueberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Cranberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Date","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Fig","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Grape","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Grapefruit","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Guava","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Jackfruit","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Kiwi","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lemon","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lime","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lychee","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mango","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Melon","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Cantaloupe","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Watermelon","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Nectarine","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Orange","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Papaya","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Passion fruit","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Peach","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pear","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pineapple","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Plum","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pomegranate","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Raspberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Strawberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Tangerine","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mandarin","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Clementine","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Persimmon","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dragon fruit","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Star fruit","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Rambutan","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mangosteen","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Durian","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Longan","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Gooseberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Redcurrant","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Blackcurrant","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Elderberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Boysenberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Loganberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mulberry","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Quince","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Soursop","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Tamarind","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Breadfruit","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Plantain","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Prunes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Raisins","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sultanas","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried apricot","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried mango","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried pineapple","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried banana","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried cranberries","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried figs","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried dates","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried blueberries","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Dried strawberries","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Date paste","neutral","","","","","","Date","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Date syrup","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Fig paste","neutral","","","","","","Fig","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Apple sauce","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Apple puree","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pear puree","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mango puree","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Passion fruit puree","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Peach puree","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Plum puree","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Apricot puree","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Tomato","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Tomato puree","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Tomato paste","neutral","","","","","","Tomato","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Sun-dried tomato","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Tamarind paste","neutral","","","","","","Tamarind","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lemon juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lime juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Orange juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Apple juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Grape juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pineapple juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Mango juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Guava juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Cranberry juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Prune juice","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lemon zest","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Lime zest","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Orange zest","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Citron","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Kumquat","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Pomelo","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Yuzu","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Calamansi","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Coconut water","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Coconut cream","allergen_source","MILK","definite","","","","","A food ingredient derived from milk; it is included as an allergen-source entry for ingredient-label screening."
"Coconut flakes","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
"Coconut nectar","neutral","","","","","","","A food ingredient commonly used in cooking or food manufacturing; the specific form is indicated by its name."
